meet_name,swim_time,swim_date,full_desc,team_code,team_short_name,full_name_computed,gender,birth_date,event_id,standard_name,RANK,Rank_Order,fina_points,meet_city,country_code
FINA/MASTBANK Swimming World Cup 2014,02:17.84,02/11/2014,Women 200 Breaststroke SCM Female,JAM,Jamaica,"ATKINSON, Alia",F,11/12/1988,,,1,1,930,Singapore,SGP
FINA/airweave Swimming World Cup 2017,02:18.96,06/08/2017,Women 200 Breaststroke SCM Female,JAM,Jamaica,"ATKINSON, Alia",F,11/12/1988,,,2,2,908,Berlin,GER
FINA/airweave Swimming World Cup 2017,02:19.58,11/11/2017,Women 200 Breaststroke SCM Female,JAM,Jamaica,"ATKINSON, Alia",F,11/12/1988,,,3,3,896,Beijing,CHN
12th FINA World Swimming Championships (25m) 2014,02:20.08,07/12/2014,Women 200 Breaststroke SCM Female,JAM,Jamaica,"ATKINSON, Alia",F,11/12/1988,,,4,4,886,Doha,QAT
FINA/airweave Swimming World Cup 2017,02:20.63,03/08/2017,Women 200 Breaststroke SCM Female,JAM,Jamaica,"ATKINSON, Alia",F,11/12/1988,,,5,5,876,Moscow,RUS
ISL 2019 Season,02:21.49,26/10/2019,Women 200 Breaststroke SCM Female,JAM,Jamaica,"ATKINSON, Alia",F,11/12/1988,,,6,6,860,Budapest,HUN
11th FINA World Swimming Championships (25m) 2012,02:21.64,16/12/2012,Women 200 Breaststroke SCM Female,JAM,Jamaica,"ATKINSON, Alia",F,11/12/1988,,,7,7,857,Istanbul,TUR
10th FINA World Swimming Championships (25m) 2010,02:21.65,19/12/2010,Women 200 Breaststroke SCM Female,JAM,Jamaica,"ATKINSON, Alia",F,11/12/1988,,,8,8,857,Dubai,UAE
11th FINA World Swimming Championships (25m) 2012,02:21.69,16/12/2012,Women 200 Breaststroke SCM Female,JAM,Jamaica,"ATKINSON, Alia",F,11/12/1988,,,9,9,856,Istanbul,TUR
FINA/airweave Swimming World Cup 2017,02:22.07,03/08/2017,Women 200 Breaststroke SCM Female,JAM,Jamaica,"ATKINSON, Alia",F,11/12/1988,,,10,10,849,Moscow,RUS
FINA/airweave Swimming World Cup 2017,02:22.35,06/08/2017,Women 200 Breaststroke SCM Female,JAM,Jamaica,"ATKINSON, Alia",F,11/12/1988,,,11,11,844,Berlin,GER
FINA/airweave Swimming World Cup 2017,02:23.87,14/11/2017,Women 200 Breaststroke SCM Female,JAM,Jamaica,"ATKINSON, Alia",F,11/12/1988,,,12,12,818,Tokyo,JPN
FINA Swimming World Cup 2018,02:24.34,02/11/2018,Women 200 Breaststroke SCM Female,JAM,Jamaica,"ATKINSON, Alia",F,11/12/1988,,,13,13,810,Beijing,CHN
FINA/airweave Swimming World Cup 2017,02:24.94,11/11/2017,Women 200 Breaststroke SCM Female,JAM,Jamaica,"ATKINSON, Alia",F,11/12/1988,,,14,14,800,Beijing,CHN
FINA/MASTBANK Swimming World Cup 2014,02:24.94,30/09/2014,Women 200 Breaststroke SCM Female,JAM,Jamaica,"ATKINSON, Alia",F,11/12/1988,,,14,15,800,Hong Kong,HKG
FINA Swimming World Cup 2018,02:25.03,28/09/2018,Women 200 Breaststroke SCM Female,JAM,Jamaica,"ATKINSON, Alia",F,11/12/1988,,,16,16,798,Eindhoven,NED
