meet_name,swim_time,swim_date,full_desc,team_code,team_short_name,full_name_computed,gender,birth_date,event_id,standard_name,RANK,Rank_Order,fina_points,meet_city,country_code
FINA/airweave Swimming World Cup 2015,01:05.93,06/11/2015,Women 100 Breaststroke LCM Female,JAM,Jamaica,"ATKINSON, Alia",F,11/12/1988,,,1,1,929,Dubai,UAE
16th FINA World Championships 2015,01:06.21,03/08/2015,Women 100 Breaststroke LCM Female,JAM,Jamaica,"ATKINSON, Alia",F,11/12/1988,,,2,2,918,Kazan,RUS
16th FINA World Championships 2015,01:06.42,04/08/2015,Women 100 Breaststroke LCM Female,JAM,Jamaica,"ATKINSON, Alia",F,11/12/1988,,,3,3,909,Kazan,RUS
SE June Invitational 2016,01:06.48,04/06/2016,Women 100 Breaststroke LCM Female,JAM,Jamaica,"ATKINSON, Alia",F,11/12/1988,,,4,4,906,Knoxville,USA
Olympic Games Rio 2016,01:06.52,07/08/2016,Women 100 Breaststroke LCM Female,JAM,Jamaica,"ATKINSON, Alia",F,11/12/1988,,,5,5,905,Rio de Janeiro,BRA
17th Pan American Games 2015,01:06.59,17/07/2015,Women 100 Breaststroke LCM Female,JAM,Jamaica,"ATKINSON, Alia",F,11/12/1988,,,6,6,902,Toronto,CAN
Olympic Games Rio 2016,01:06.72,07/08/2016,Women 100 Breaststroke LCM Female,JAM,Jamaica,"ATKINSON, Alia",F,11/12/1988,,,7,7,897,Rio de Janeiro,BRA
Arena Pro Series Orlando 2015,01:06.79,12/02/2015,Women 100 Breaststroke LCM Female,JAM,Jamaica,"ATKINSON, Alia",F,11/12/1988,,,8,8,894,Orlando,USA
Olympic Games London 2012,01:06.79,29/07/2012,Women 100 Breaststroke LCM Female,JAM,Jamaica,"ATKINSON, Alia",F,11/12/1988,,,8,9,898,London,GBR
2016 FL Southern Zone South Sectional,01:06.80,08/07/2016,Women 100 Breaststroke LCM Female,JAM,Jamaica,"ATKINSON, Alia",F,11/12/1988,,,10,10,893,Orlando,USA
XXIII Juegos CAC-Barranquilla,01:06.83,25/07/2018,Women 100 Breaststroke LCM Female,JAM,Jamaica,"ATKINSON, Alia",F,11/12/1988,,,11,11,883,Barranquilla,COL
Mesa PSS 2016,01:06.84,14/04/2016,Women 100 Breaststroke LCM Female,JAM,Jamaica,"ATKINSON, Alia",F,11/12/1988,,,12,12,892,Mesa,USA
2014 FL SZS Summer Sectionals,01:06.86,10/07/2014,Women 100 Breaststroke LCM Female,JAM,Jamaica,"ATKINSON, Alia",F,11/12/1988,,,13,13,891,Orlando,USA
20th Commonwealth Games 2014,01:06.87,27/07/2014,Women 100 Breaststroke LCM Female,JAM,Jamaica,"ATKINSON, Alia",F,11/12/1988,,,14,14,891,Glasgow,GBR
Olympic Games London 2012,01:06.93,30/07/2012,Women 100 Breaststroke LCM Female,JAM,Jamaica,"ATKINSON, Alia",F,11/12/1988,,,15,15,892,London,GBR
FINA/airweave Swimming World Cup 2015,01:07.03,15/08/2015,Women 100 Breaststroke LCM Female,JAM,Jamaica,"ATKINSON, Alia",F,11/12/1988,,,16,16,884,Paris-Chartres,FRA
FINA Swimming World Cup 2019,01:07.06,09/08/2019,Women 100 Breaststroke LCM Female,JAM,Jamaica,"ATKINSON, Alia",F,11/12/1988,,,17,17,874,Jinan,CHN
